4.0,1671.0,68.929
18.0,1676.0,93.615
99.0,1676.0,98.462
86.0,1585.0,31.154
83.0,1671.0,116.772
21.0,1431.0,123.006
27.0,1585.0,106.077
58.0,1676.0,168.385
40.0,1676.0,114.692
83.0,1676.0,0.385
39.0,1613.0,110.615
79.0,1431.0,44.923
59.0,1676.0,181.769
65.0,1671.0,59.314
29.0,1431.0,111.81
33.0,1676.0,35.462
22.0,1671.0,22.46
97.0,1676.0,73.308
35.0,1613.0,53.077
5.0,1676.0,34.923
2.0,1671.0,69.36
69.0,1676.0,139.923
88.0,1676.0,154.462
11.0,1676.0,107.769
80.0,1671.0,110.228
86.0,1613.0,75.462
33.0,1431.0,103.602
24.0,1431.0,121.988
62.0,1671.0,44.512
3.0,1671.0,66.798
18.0,1585.0,118.077
7.0,1676.0,80.538
23.0,1671.0,20.865
20.0,1613.0,50.538
61.0,1676.0,179.846
44.0,1613.0,97.077
56.0,1671.0,35.83
55.0,1613.0,80.769
95.0,1671.0,174.752
2.0,1613.0,141.462
84.0,1431.0,38.544
41.0,1671.0,15.331
54.0,1431.0,68.235
43.0,1676.0,172.538
41.0,1676.0,37.308
65.0,1585.0,131.462
21.0,1585.0,28.308
78.0,1676.0,108.231
38.0,1671.0,12.152
73.0,1585.0,14.846
35.0,1585.0,76.615
25.0,1431.0,122.844
46.0,1676.0,5.231
38.0,1613.0,107.0
13.0,1431.0,140.809
63.0,1585.0,80.154
45.0,1671.0,18.91
30.0,1613.0,22.385
0.0,1613.0,126.615
77.0,1585.0,99.0
93.0,1585.0,26.846
75.0,1431.0,45.121
18.0,1431.0,131.751
88.0,1585.0,115.077
57.0,1671.0,36.41
14.0,1613.0,135.462
23.0,1585.0,153.077
78.0,1431.0,46.001
15.0,1676.0,46.846
92.0,1671.0,162.846
94.0,1431.0,24.149
68.0,1585.0,35.231
77.0,1431.0,46.293
22.0,1676.0,66.615
72.0,1671.0,74.819
67.0,1585.0,131.923
68.0,1671.0,65.256
34.0,1585.0,50.923
58.0,1671.0,35.084
94.0,1676.0,191.462
33.0,1613.0,110.462
5.0,1613.0,116.769
48.0,1676.0,168.308
51.0,1431.0,73.576
43.0,1585.0,121.0
56.0,1676.0,84.385
13.0,1613.0,16.615
95.0,1431.0,20.898
17.0,1613.0,13.692
74.0,1613.0,151.077
76.0,1671.0,87.677
45.0,1585.0,21.923
42.0,1671.0,13.611
96.0,1431.0,22.86
48.0,1431.0,79.545
61.0,1671.0,48.465
31.0,1431.0,110.178
19.0,1676.0,170.615
98.0,1676.0,92.692
3.0,1676.0,151.923
75.0,1613.0,41.231
2.0,1585.0,76.692
51.0,1676.0,108.923
73.0,1613.0,165.923
87.0,1431.0,32.506
25.0,1676.0,50.615
97.0,1613.0,13.769
64.0,1613.0,12.692
1.0,1431.0,171.716
28.0,1431.0,109.197
88.0,1431.0,31.956
50.0,1585.0,64.615
10.0,1431.0,144.994
14.0,1585.0,154.462
35.0,1676.0,50.769
45.0,1431.0,82.041
54.0,1613.0,82.231
93.0,1613.0,181.692
29.0,1585.0,75.538
66.0,1431.0,59.347
63.0,1671.0,53.453
79.0,1613.0,170.538
82.0,1676.0,157.923
42.0,1676.0,29.846
17.0,1431.0,135.394
36.0,1585.0,130.0
63.0,1613.0,24.077
93.0,1671.0,171.388
42.0,1585.0,60.538
76.0,1613.0,158.538
99.0,1613.0,170.769
80.0,1585.0,60.154
18.0,1613.0,142.0
23.0,1431.0,127.747
27.0,1613.0,13.308
96.0,1676.0,26.692
48.0,1613.0,108.231
8.0,1585.0,75.0
6.0,1676.0,65.846
